테이블	No	속성명(한글)	컬럼명	데이터타입	컬럼 옵션	DEFAULT	비고	변수명
productLots	6	로트 잔여 수량	lotQuantity	INT	NN		SUM(inventories.quantity) 와 일치해야 한다	lotQuantity
productLots	7	버전	version	BIGINT	NN	0	Version 낙관적 락	version
warehouseBins	1	구역 ID	binId	BIGINT	PK	IDENTITY		binId
warehouseBins	2	구역 코드	binCode	VARCHAR(30)	NN, UK		예: YS-PL-01	binCode
warehouseBins	3	센터 ID	centerId	BIGINT	NN, FK		FK centers.centerId / ManyToOne(LAZY, optional=false)	center
warehouseBins	4	구역 그룹	zone	VARCHAR(20)	NN		PL(가금) / CT(소) / COLD(저온) / R(입고대기) / S(출고대기)	zone
warehouseBins	5	구역 용도	binPurpose	VARCHAR(20)	NN	STORAGE	enum BinPurpose (STORAGE / RECEIVING / SHIPPING / INSPECTION / IN_TRANSIT) / 대기 구역은 적재율 통계 제외	binPurpose
warehouseBins	6	도면 열 좌표	posX	INT	NN	1	2D 도면 좌상단 열 (1-based)	posX
warehouseBins	7	도면 행 좌표	posY	INT	NN	1	2D 도면 좌상단 행 (1-based)	posY
warehouseBins	8	도면 가로 칸수	posWidth	INT	NN	1		posWidth
warehouseBins	9	도면 세로 칸수	posHeight	INT	NN	1		posHeight
warehouseBins	10	랙	rack	VARCHAR(20)				rack
warehouseBins	11	단	binLevel	INT			LEVEL 이 SQL 예약어라 컬럼명을 변경했다	binLevel
warehouseBins	12	적재 한도	maxCapacity	INT	NN	0	초과 입고 차단 기준 / 적재율의 분모	maxCapacity
warehouseBins	13	사용 여부	active	BOOLEAN	NN	TRUE	false = 출고 후보 제외 (반출은 허용)	active
warehouseBins	14	메모	memo	VARCHAR(200)				memo
warehouseBins	15	등록일시	createdAt	TIMESTAMP	NN	자동 생성(PrePersist)		createdAt
inventories	1	재고 ID	inventoryId	BIGINT	PK	IDENTITY		inventoryId
inventories	2	로트 ID	lotId	BIGINT	NN, FK, UK		FK productLots.lotId / 복합 UK ukInventoryLotBin (lotId, binId)	lot
inventories	3	구역 ID	binId	BIGINT	NN, FK, UK		FK warehouseBins.binId / 복합 UK ukInventoryLotBin (lotId, binId)	bin
inventories	4	보관 수량	quantity	INT	NN		구역별 실물 수량 / 0 이 되어도 행은 삭제하지 않는다	quantity
inventories	5	수정일시	updatedAt	TIMESTAMP	NN	자동 생성(PrePersist / PreUpdate)		updatedAt
inventories	6	버전	version	BIGINT	NN	0	Version 낙관적 락 / 동시 이동 · 출고 충돌 방지	version
orders	1	주문 ID	orderId	BIGINT	PK	IDENTITY		orderId
orders	2	회원 ID	userId	BIGINT	NN, FK		FK users.userId / 주문 고객	user
orders	3	주문 금액	totalPrice	BIGINT	NN		할인 전 금액	totalPrice
orders	4	할인 금액	discountPrice	BIGINT	NN	0		discountPrice
orders	5	결제 금액	finalPrice	BIGINT	NN		매출 집계 기준 금액	finalPrice
orders	6	배송지	shippingAddress	VARCHAR(300)	NN			shippingAddress
orders	7	주문 상태	status	VARCHAR(20)	NN		enum OrderStatus (PAID / READY / SHIPPED / DELIVERED / CANCELED)	status
orders	8	주문일시	createdAt	TIMESTAMP	NN		일별 매출 차트의 집계 기준	createdAt
orders	9	취소일시	canceledAt	TIMESTAMP			기존 데이터 보존을 위해 nullable	canceledAt
orders	10	취소 사유	cancelReason	VARCHAR(150)				cancelReason
orders	11	취소 처리자 ID	canceledById	BIGINT			FK 아님 (감사 추적용 스냅샷)	canceledById
orders	12	취소 처리자명	canceledByName	VARCHAR(50)			FK 아님 (퇴사 후에도 이력 보존)	canceledByName
orderItems	1	주문 상세 ID	orderItemId	BIGINT	PK	IDENTITY		orderItemId
orderItems	2	주문 ID	orderId	BIGINT	NN, FK		FK orders.orderId / cascade ALL · orphanRemoval	order
orderItems	3	품목 ID	productId	BIGINT	NN, FK		FK products.productId	product
orderItems	4	로트 ID	lotId	BIGINT	FK		FK productLots.lotId / nullable · FEFO 대표 로트 1건만 기록	lot
orderItems	5	주문 수량	quantity	INT	NN			quantity
orderItems	6	주문 단가	orderPrice	BIGINT	NN		주문 당시 단가 스냅샷 (이후 판매가 변경과 무관)	orderPrice
stockMovements	1	이력 ID	movementId	BIGINT	PK	IDENTITY		movementId
stockMovements	2	이력 유형	movementType	VARCHAR(20)	NN		enum MovementType (INBOUND / OUTBOUND / CANCEL / DISPOSAL / MOVE / TRANSFER_OUT / TRANSFER_IN / ADJUST)	movementType
stockMovements	3	품목 ID	productId	BIGINT	NN, FK		FK products.productId	product
stockMovements	4	로트 ID	lotId	BIGINT	NN, FK		FK productLots.lotId	lot
stockMovements	5	대상 구역 ID	binId	BIGINT	FK		FK warehouseBins.binId / nullable · 도착 구역	bin
stockMovements	6	출발 구역 ID	fromBinId	BIGINT	FK		FK warehouseBins.binId / nullable · MOVE · TRANSFER 의 출발 구역	fromBin
stockMovements	7	변동 수량	quantity	INT	NN		항상 양수 / 증감 방향은 movementType 으로 판단	quantity
stockMovements	8	메모	memo	VARCHAR(200)			센터 간 이관 시 출발에서 도착까지의 경로를 기록	memo
stockMovements	9	폐기 사유	reason	VARCHAR(30)			enum DisposalReason (폐기 이력에만 값이 있다)	reason
stockMovements	10	주문 ID	orderId	BIGINT			FK 아님 (출고 · 취소 이력의 주문 참조 스냅샷)	orderId
stockMovements	11	처리자 ID	userId	BIGINT			FK 아님 (처리자 스냅샷)	userId
stockMovements	12	처리자명	userName	VARCHAR(50)			FK 아님 (퇴사 후에도 이력 보존)	userName
stockMovements	13	등록일시	createdAt	TIMESTAMP	NN		기간 실적 집계의 기준	createdAt
farmCustomers	1	농장 고객사 ID	farmCustomerId	BIGINT	PK	IDENTITY		farmCustomerId
farmCustomers	2	농장 코드	farmCode	VARCHAR(20)	NN, UK		업무 식별자 (예: F-W01-01) / 팀원 모듈이 자연 키로 병합에 쓰므로 형식을 바꾸지 않는다	farmCode
farmCustomers	3	농장명	farmName	VARCHAR(80)	NN			farmName
farmCustomers	4	대표자명	representativeName	VARCHAR(30)	NN		배송 · 연락 담당	representativeName
farmCustomers	5	연락처	phone	VARCHAR(30)	NN			phone
farmCustomers	6	우편번호	postalCode	VARCHAR(10)	NN			postalCode
farmCustomers	7	주소	address	VARCHAR(180)	NN			address
farmCustomers	8	위도	latitude	DOUBLE			농장 위치(WGS84) / 배송 권역 판단 근거 (P4b)	latitude
farmCustomers	9	경도	longitude	DOUBLE				longitude
farmCustomers	10	축종	animalType	VARCHAR(20)	NN		enum AnimalType (CATTLE / PIG / POULTRY) / products.animalType 과 같은 값 체계	animalType
farmCustomers	11	사육 두수	livestockCount	INT	NN		마리	livestockCount
farmCustomers	12	월 예상 사료량	monthlyFeedQuantity	INT	NN		포대 / 집계는 거래 중(ACTIVE)만 합산한다	monthlyFeedQuantity
farmCustomers	13	선호 사료	preferredFeed	VARCHAR(80)	NN		담당자가 적는 설명 (품목 코드가 아니다)	preferredFeed
farmCustomers	14	정기 배송일	recurringDeliveryDay	INT	NN		매월 며칠 / 1~28 로 제한 (29~31 은 2월에 없어 배송이 밀린다)	recurringDeliveryDay
farmCustomers	15	담당 센터 ID	centerId	BIGINT	NN, FK		FK centers.centerId / ManyToOne(LAZY, optional=false)	center
farmCustomers	16	센터까지 거리	distanceKm	DOUBLE	NN		km / centers 좌표 기준 하버사인 재계산값	distanceKm
farmCustomers	17	거래 상태	status	VARCHAR(20)	NN		enum CustomerStatus (ACTIVE 거래 중 / PAUSED 거래 보류)	status
farmCustomers	18	운영 메모	notes	VARCHAR(200)			보류 사유 · 공급 주기 특이사항	notes
farmCustomers	19	등록일시	createdAt	TIMESTAMP	NN	자동 생성(PrePersist)		createdAt

manufacturers	1	제조사 ID	manufacturerId	BIGINT	PK	IDENTITY		manufacturerId
manufacturers	2	제조사명	name	VARCHAR(100)	NN, UK		코드 체계가 없어 이름이 유일한 식별 · 정렬 기준	name
manufacturers	3	사업자등록번호	businessNumber	VARCHAR(20)				businessNumber
manufacturers	4	연락처	phone	VARCHAR(30)			반품 연락 시 사용	phone
manufacturers	5	담당자명	contactName	VARCHAR(30)				contactName
manufacturers	6	거래 여부	active	BOOLEAN	NN	TRUE	FALSE 면 품목 등록 선택 목록에서 제외	active
manufacturers	7	등록일시	createdAt	TIMESTAMP	NN	@PrePersist		createdAt
defectRecords	1	불량 ID	defectId	BIGINT	PK	IDENTITY		defectId
defectRecords	2	불량 관리번호	defectNo	VARCHAR(30)	NN, UK		DF-yyMM-NNN / 월별 순번 리셋 · 실물에 붙여 격리 재고와 기록을 잇는다	defectNo
defectRecords	3	로트 ID	lotId	BIGINT	FK, NN		품목이 아니라 로트 단위 — 같은 품목이어도 제조 단위가 다르면 별개 문제	lot
defectRecords	4	발견 구역 ID	binId	BIGINT	FK		센터 간 이관 중 파손은 구역을 특정할 수 없어 NULL 허용	bin
defectRecords	5	불량 수량	quantity	INT	NN		포대 / 로트 잔여와 비교 검증하지 않는다 — 폐기 후에도 기록은 남아야 한다	quantity
defectRecords	6	불량 유형	defectType	VARCHAR(30)	NN		enum DefectType (7종) / 폐기 사유와 별개 개념	defectType
defectRecords	7	발견 단계	stage	VARCHAR(30)	NN		enum DefectStage (4종) / 구역 용도로 추정 가능	stage
defectRecords	8	처리 상태	status	VARCHAR(30)	NN	QUARANTINED	enum DefectStatus / 격리 → 검사 중 → 처리 완료 (역행 불가)	status
defectRecords	9	처리 방법	resolution	VARCHAR(30)			enum DefectResolution / 처리 완료 전에는 NULL	resolution
defectRecords	10	발견 상황	memo	VARCHAR(300)			발견 당시 상황 · 검사 소견	memo
defectRecords	11	처리 내용	resolutionMemo	VARCHAR(300)			반품 접수번호 · 재작업 내용 등	resolutionMemo
defectRecords	12	발견자명	reportedByName	VARCHAR(50)			FK 가 아닌 스냅샷 — 담당자가 퇴사해도 남아야 한다	reportedByName
defectRecords	13	처리자명	resolvedByName	VARCHAR(50)			FK 가 아닌 스냅샷	resolvedByName
defectRecords	14	등록일시	createdAt	TIMESTAMP	NN	@PrePersist	방치 기간 판정 기준	createdAt
defectRecords	15	처리일시	resolvedAt	TIMESTAMP			처리 완료 전에는 NULL	resolvedAt
